run_id,timestamp,phase,preset,task_type,spec_version,seed_data,seed_algo,algorithm,ci_test,alpha,max_lag,tau_min,stratum,tp,fp,fn,tn,precision,recall,f1,fdr,shd,recall_ceiling,max_abs_corr_channels,median_abs_corr_channels,condition_number,varsortability_raw,varsortability_z,pct_zero_spend,mean_r2_partial_edges,n_channels,n_controls,n_ghosts,n_periods,n_true_edges,runtime_seconds
4fa47ff0,2026-09-04T19:54:43.103970,exploratory,causal_business,preset,v2,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,overall,1,11,8,52,0.08333333333333333,0.1111111111111111,0.09523809523809525,0.9166666666666666,19,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3067.833793807
4fa47ff0,2026-09-04T19:54:43.104057,exploratory,causal_business,preset,v2,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,channel_to_y,0,0,6,0,,0.0,,,6,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3067.833793807
4fa47ff0,2026-09-04T19:54:43.104073,exploratory,causal_business,preset,v2,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,ghost_to_y,0,0,0,2,,,,,0,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3067.833793807
4fa47ff0,2026-09-04T19:54:43.104085,exploratory,causal_business,preset,v2,2025,2025,pcmci_cmiknn,cmiknn,0.05,3,1,channel_to_channel,1,11,2,42,0.08333333333333333,0.3333333333333333,0.13333333333333333,0.9166666666666666,13,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3067.833793807
988000ae,2026-09-04T19:54:46.444892,exploratory,causal_business,preset,v2,2025,2025,lpcmci,lpcmci,0.05,3,1,overall,4,3,5,60,0.5714285714285714,0.4444444444444444,0.5,0.42857142857142855,8,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3.3403898880023917
988000ae,2026-09-04T19:54:46.444926,exploratory,causal_business,preset,v2,2025,2025,lpcmci,lpcmci,0.05,3,1,channel_to_y,2,0,4,0,1.0,0.3333333333333333,0.5,0.0,4,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3.3403898880023917
988000ae,2026-09-04T19:54:46.444939,exploratory,causal_business,preset,v2,2025,2025,lpcmci,lpcmci,0.05,3,1,ghost_to_y,0,0,0,2,,,,,0,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3.3403898880023917
988000ae,2026-09-04T19:54:46.444951,exploratory,causal_business,preset,v2,2025,2025,lpcmci,lpcmci,0.05,3,1,channel_to_channel,2,3,1,50,0.4,0.6666666666666666,0.5,0.6,4,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,3.3403898880023917
1edddcd6,2026-09-04T20:14:48.722686,exploratory,causal_business,preset,v2,2025,2025,cdnots,cdnots,0.05,3,1,overall,2,1,7,62,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,8,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,1202.277376009999
1edddcd6,2026-09-04T20:14:48.722720,exploratory,causal_business,preset,v2,2025,2025,cdnots,cdnots,0.05,3,1,channel_to_y,1,0,5,0,1.0,0.16666666666666666,0.2857142857142857,0.0,5,1.0,0.6693937454235891,0.10128761539084304,3.1515003923130482,0.6666666666666666,0.4444444444444444,0.06650641025641026,0.1614930604431306,8,1,2,156,9,1202.277376009999
