Dataset,Model,Channel,Region,Bias,SRMSE,R²,MAPE (%),Braço
causal_large,PyMC-Marketing - nutpie,x1_TV,national,-13243.071482396785,1.4267262905929785,-0.8354508836095196,92.12356358721256,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x2_OOH,national,11087.106110759953,2.9432546548048695,-6.931961782693719,1850.8292026825623,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x3_Radio,national,11037.148503123854,3.5671922246476253,-12.725201773430081,214.9990654470391,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x4_Podcast,national,-2137.3009177217837,1.1062470453228692,-4.417454999544231,102.43292967751465,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x5_Video,national,27335.122963285914,1.4147648750149013,-13.327252679161623,299.5234203332877,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x6_Social-Paid,national,3909.8237914597335,2.2146399058286637,-3.5024018110259094,984.1130843141236,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x7_Social-Organic,national,1194.7286751255933,1.0647363018646459,-7.3265870237692745,129.66530703133753,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x8_Display,national,16836.906334323736,2.9249564659503693,-367.03830873123565,201.36208540606435,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x9_Programmatic,national,-7652.544646470933,0.843454656004646,-23.581359731453425,81.31042275798049,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x10_Native-Ads,national,-632.2325947938215,1.3512119950539427,-8.522424882098628,156.39229131768607,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x11_Paid-Search,national,-26531.8945356719,0.9791196806254716,-12.085568662099854,94.74724716364102,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x12_Brand-Search,national,-14106.500109943225,1.2995549122515402,-1.2450085109485598,578.2679903608207,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x13_Shopping-Ads,national,-12354.281464050524,1.3400156301831363,-1.1487026796206132,98.2243920070992,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x14_Retargeting,national,-21223.251523441013,0.8834491330132124,-87.6978173828041,85.1756613019586,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x15_Affiliate,national,-480.06804877032454,1.0771029526583566,-4.052438544735159,131.91097978568905,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x16_CTV,national,14268.721135143676,2.0247274181855603,-25.155174606821845,191.33681007238746,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x17_Streaming-Audio,national,4361.584796661535,2.740811057684619,-28.892858993216198,267.78463513834384,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x18_Influencer,national,11954.504534159794,1.7724267312733106,-63.818029163156936,186.3113860117894,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x19_Email,national,-6826.7293020229445,1.576212914642658,-0.6426099870093243,253.28588311607527,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x20_Push-Notif,national,-11828.372447020454,0.9466089182558657,-13.50715954206122,89.97732616354911,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x1_TV,national,-13059.08695137241,1.416696893119802,-0.8097364014890698,90.61127513132115,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x2_OOH,national,19709.134975700148,4.495269904575302,-17.502758457997203,2787.4508711450076,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x3_Radio,national,10554.113079394581,3.4853579293801182,-12.102690469040041,201.73647940445414,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x4_Podcast,national,-3228.2233081125673,1.002715368724144,-3.4508853549291674,92.34553278933369,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x5_Video,national,20498.03261571276,1.1010646932793373,-7.678008199398134,238.3670208011662,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x6_Social-Paid,national,4295.371919137365,2.431655198400795,-4.428026940649151,997.0566691457728,Braço 3: PyMC + CD-NOTS
