Dataset,Model,Channel,Region,Bias,SRMSE,R²,MAPE (%),Braço
causal_large,PyMC-Marketing - nutpie,x1_TV,national,-13019.089779118322,1.4150627523659154,-0.8055637963509112,90.79466615927673,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x2_OOH,national,24515.993315986187,5.45246455794784,-26.22141123486037,3307.2017720117665,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x3_Radio,national,8698.897874905573,2.9804888172680286,-8.58165888782986,172.80927850242384,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x4_Podcast,national,-2181.292719446579,1.1476418003296758,-4.830472901143908,106.51533630570738,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x5_Video,national,34944.25852429831,1.7927347891225476,-22.00522447108583,359.60752998895043,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x6_Social-Paid,national,4079.1556603369363,2.2286380079743324,-3.559498463165374,999.0685928899275,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x7_Social-Organic,national,1182.9960240106452,1.0686208960074217,-7.38745545810254,128.38274194930128,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x8_Display,national,17617.062576142467,3.1544948425506463,-427.0690772678303,209.3338925291501,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x9_Programmatic,national,-7780.657595689704,0.8565324279073873,-24.349537620774218,82.7381468179818,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x10_Native-Ads,national,-902.3078100824276,1.3024936244488863,-7.84813588894399,150.49132845366282,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x11_Paid-Search,national,-25934.244899052665,0.9616505892610322,-11.622798352917387,92.78052948871105,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x12_Brand-Search,national,-13994.276488956217,1.293986394774428,-1.2258102682412955,700.2524087975537,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x13_Shopping-Ads,national,-12383.31941523661,1.3387772600718322,-1.1447330846524006,99.04520142182358,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x14_Retargeting,national,-23747.08070152065,0.9582966525826514,-103.36377447167808,95.27537324722127,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x15_Affiliate,national,-11368.893696903157,1.058789988065863,-3.882095367698698,94.07349625295257,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x16_CTV,national,-5158.703415848925,0.9091247237605338,-4.273165875330411,82.09655166140222,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x17_Streaming-Audio,national,2827.523799522017,1.7744289569943832,-11.529290832015542,151.72144510714247,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x18_Influencer,national,36019.94868300796,4.298095868973562,-380.1636136166777,443.79637555895675,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x19_Email,national,-6906.056925252643,1.5818886652786104,-0.6544609624270965,99.01539147883271,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x20_Push-Notif,national,-11626.23657156914,0.9372695578619812,-13.222312822348457,89.52173716167827,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x21_Ghost-A,national,764.8763558215256,,,,Braço 1: PyMC Baseline
causal_large,PyMC-Marketing - nutpie,x22_Ghost-B,national,1641.523283599849,,,,Braço 1: PyMC Baseline
causal_large,Meridian,x1_TV,national,-4242.3322471886795,0.5038997944514727,0.7710451743993663,75.83453361693647,Braço 2: Meridian Baseline
causal_large,Meridian,x2_OOH,national,4185.011814120357,1.6364346851979183,-1.4520102769470862,86.45368438285941,Braço 2: Meridian Baseline
causal_large,Meridian,x3_Radio,national,3619.64384815942,1.281902518565818,-0.7724570241664972,107.95648385789374,Braço 2: Meridian Baseline
causal_large,Meridian,x4_Podcast,national,1708.3265073036725,0.551431579712079,-0.34609072813504294,44.89121036102176,Braço 2: Meridian Baseline
causal_large,Meridian,x5_Video,national,13656.422309914009,0.7229937212781005,-2.7416523573554623,67.03613282703216,Braço 2: Meridian Baseline
causal_large,Meridian,x6_Social-Paid,national,3604.3879256803416,1.381937902957628,-0.7531338086769759,81.86281364803773,Braço 2: Meridian Baseline
causal_large,Meridian,x7_Social-Organic,national,-5763.825602468878,0.4692538690768319,-0.6173299416329814,46.84098858347554,Braço 2: Meridian Baseline
causal_large,Meridian,x8_Display,national,-6323.42538043747,0.5356306908688959,-11.341988009378351,54.77773840748292,Braço 2: Meridian Baseline
causal_large,Meridian,x9_Programmatic,national,-2488.7514782352323,0.27302787190679434,-1.57570659885751,28.55102508223227,Braço 2: Meridian Baseline
causal_large,Meridian,x10_Native-Ads,national,-3394.178470683964,0.5890481284446157,-0.8096814407191149,62.35396427592742,Braço 2: Meridian Baseline
causal_large,Meridian,x11_Paid-Search,national,-19713.37412232152,0.7166695918885254,-6.010661463941381,71.6014848024225,Braço 2: Meridian Baseline
causal_large,Meridian,x12_Brand-Search,national,16027.958677550101,1.5486699214484363,-2.1882065403528888,120.16624180797155,Braço 2: Meridian Baseline
causal_large,Meridian,x13_Shopping-Ads,national,-3821.7206136019263,0.4906261728145775,0.7119565382067862,48.743618261502434,Braço 2: Meridian Baseline
causal_large,Meridian,x14_Retargeting,national,-13879.967743197429,0.5579706798571287,-34.381202729488614,56.27638989658291,Braço 2: Meridian Baseline
causal_large,Meridian,x15_Affiliate,national,2970.2438872364737,0.26331816467984254,0.6980408142082604,36.37045404707436,Braço 2: Meridian Baseline
causal_large,Meridian,x16_CTV,national,-10482.043652669052,1.0233964425002204,-5.682089704952078,95.93728830071315,Braço 2: Meridian Baseline
causal_large,Meridian,x17_Streaming-Audio,national,-3826.951788760239,0.8404425550623835,-1.810770111621931,80.01776480239855,Braço 2: Meridian Baseline
causal_large,Meridian,x18_Influencer,national,4781.464072416682,0.4462144022087781,-3.1081510784676034,49.07107751448171,Braço 2: Meridian Baseline
causal_large,Meridian,x19_Email,national,869.2051457836625,0.7248819222971186,0.6525924647304187,55.81641170185607,Braço 2: Meridian Baseline
causal_large,Meridian,x20_Push-Notif,national,1700.6835979357845,0.19134075783339283,0.40727099046586346,15.608653926387072,Braço 2: Meridian Baseline
causal_large,Meridian,x21_Ghost-A,national,8284.823763425533,,,,Braço 2: Meridian Baseline
causal_large,Meridian,x22_Ghost-B,national,10206.67417878371,,,,Braço 2: Meridian Baseline
causal_large,PyMC-Marketing - nutpie,x1_TV,national,-12866.255879906286,1.4055479278560306,-0.7813643534748744,89.49013133825656,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x2_OOH,national,27993.98988805443,6.057514092536399,-32.598028977841984,3699.231105475448,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x3_Radio,national,5247.89666385453,2.0259040181649475,-3.4269380433469188,121.43860731864014,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x4_Podcast,national,-2269.839322472701,1.1099604267834942,-4.453885995536139,103.35972769438861,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x5_Video,national,34171.706630440676,1.753017476212256,-20.997173180297313,352.9932242443478,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x6_Social-Paid,national,4522.9662792377685,2.3320544198036637,-3.9924689138728002,1023.5280983017567,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x7_Social-Organic,national,1931.82470766322,1.1136631597738293,-8.109417544846819,129.72017109804185,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x8_Display,national,17722.533010874493,3.1681172280689287,-430.7742112401452,210.19117241541636,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x9_Programmatic,national,-6328.0169338041405,0.7085683194722687,-16.347859025648933,66.901317294593,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x10_Native-Ads,national,766.784290074896,1.6718686097738735,-13.57823205605342,189.26920642220927,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x11_Paid-Search,national,-26028.536335092504,0.9635899479990648,-11.673762432959943,93.11577538109572,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x12_Brand-Search,national,-13428.813710128481,1.2651980597641412,-1.12787325431831,1366.898376043506,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x13_Shopping-Ads,national,-12375.507936669725,1.3384585914677816,-1.1437121862897182,98.66979453828306,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x14_Retargeting,national,-21742.55744012985,0.8791267442092342,-86.83200959677048,87.11995097301303,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x15_Affiliate,national,-11141.39977948282,1.0417876314360333,-3.7265581011635405,91.08079080431025,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x16_CTV,national,-6100.2334268851855,0.8762175937980236,-3.898334444123779,80.57882566821638,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x17_Streaming-Audio,national,3052.389862999425,1.8147007569446627,-12.10446510631865,156.8693293990111,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x18_Influencer,national,30219.509578373363,3.687445041410575,-279.55005076931826,381.2281080611011,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x19_Email,national,-6898.7456517361725,1.5802881122761714,-0.6511146930330289,98.5739270170641,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x20_Push-Notif,national,-7890.84481160087,0.7194366347749009,-7.379658145649918,71.02723764443132,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x21_Ghost-A,national,426.56731626956156,,,,Braço 3: PyMC + CD-NOTS
causal_large,PyMC-Marketing - nutpie,x22_Ghost-B,national,1301.9132226796294,,,,Braço 3: PyMC + CD-NOTS
causal_large,Meridian,x1_TV,national,-4525.727834009428,0.5540237233170907,0.7232305426152164,92.83638288115955,Braço 4: Meridian + CD-NOTS
causal_large,Meridian,x2_OOH,national,4118.381667291089,1.643731200510737,-1.4739250127737646,74.13184817895241,Braço 4: Meridian + CD-NOTS
causal_large,Meridian,x3_Radio,national,3630.7329635085657,1.2769978015554464,-0.7589196935491833,123.03364588862271,Braço 4: Meridian + CD-NOTS
