Dataset,Model,Channel,Region,Bias,SRMSE,R²,MAPE (%),Braço
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_a,-727.859121438161,0.09550011695398967,0.9942341496665403,18.15768581495951,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_a,1051.5224057857245,0.06653617439592359,0.9968301643513996,366.6760586173277,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_a,-3169.7901671600916,0.10843776762753193,0.9707407933170672,11.40571729951552,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_a,115.93050564510143,0.15527451505537032,0.9943180431654108,254.03480607103242,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_a,-572.9370207447022,0.13705794943448407,0.9915180046707529,32.10477811565502,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_a,-923.6484411619051,0.14526650945472525,0.9886203221812344,20.744644514721276,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_a,-2571.714088639825,0.171348417024208,0.9563164085645616,32.95516502141894,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_a,7.722167819978174,0.056558456758507125,0.9995876049106065,209.96814512748438,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_b,-855.8999019243452,0.06340633121694333,0.9927513135885963,7.649790858021169,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_b,2203.6034093397134,0.0498663870582121,0.9948605459377559,153.59314853056983,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_b,-3800.633630359287,0.1282070543233372,0.9609734181504802,16.24556422896242,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_b,-206.25176095010485,0.07466488221641633,0.9972493916154811,226.93676112354675,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_b,-107.82275076646431,0.13226149260711678,0.9933377290303818,33.98464647675289,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_b,-1047.4946282658923,0.2021263594250114,0.9813499425602868,25.750455067842616,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_b,-1731.4402032007072,0.12818302315281865,0.9760560385663755,27.487763978136254,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_b,262.4001023210537,0.059276040830795185,0.999163848817558,233.929766355587,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_c,-414.914226789472,0.040770029302454526,0.9979047795520865,6.79489790206498,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_c,2972.383175062845,0.0739598126994958,0.9895465241559224,130.88887908426113,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_c,-4235.916047975181,0.14783020207511832,0.9538749816467552,18.204100740039518,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_c,-63.36685233269849,0.08850801316864444,0.9971775234396525,488.87423753482244,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_c,50.65935872293487,0.1196628755438027,0.9928361807557398,31.504554799721014,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_c,-550.4641339278378,0.11478100795772436,0.992407787705425,15.797351177981572,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_c,-1635.8305741269062,0.14074015823891375,0.9772609131920973,32.02009285979083,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_c,402.60365371053035,0.09438923458424764,0.9979624789499617,211.5124197452052,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_d,-1992.3911744355842,0.1311208616393368,0.9779439096692312,13.812198428298036,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_d,-2584.059315795552,0.11384647525037148,0.9799827013865718,84.38468218081556,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_d,-6346.264540343087,0.21144128180011393,0.8964133306908888,23.41166115266479,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_d,-971.458496969876,0.21594961948659433,0.9839673156805405,750.8464013921016,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_d,-996.7644581140895,0.18447978927374187,0.9827980529860301,31.98776025370621,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_d,-1916.3410331053124,0.28639194243619853,0.9582861175111411,27.3308293623675,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_d,-3362.1601188397376,0.21633571424725737,0.9352653976968701,35.86123672546686,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_d,-953.1935032250947,0.18846592422362662,0.9887757040803471,154.52458213642356,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_e,222.0680217611036,0.035650432049972494,0.9955447479974976,4.423945377309231,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_e,1991.6023666456808,0.07976787488453778,0.9938078119990047,535.752435783966,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_e,-2744.001726588744,0.10449879127390786,0.972897901908695,12.02124798908389,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_e,177.95201927878028,0.0667081308703971,0.997909224280267,58.82258571940865,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_e,-351.11532493111764,0.10681185389176914,0.9943986289326651,28.874100987923416,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_e,-795.2041884473684,0.1512866841572572,0.9889962345558554,22.91804494213222,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_e,-2112.92229178005,0.1560465966005061,0.96682387920291,30.720966642537594,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_e,691.0312522880137,0.09518073973495529,0.9966771188240954,189.2240768687948,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_f,-197.04815389622857,0.049826968354301414,0.9971245440257949,6.362205155271085,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_f,1600.32342257813,0.04489371722071579,0.9966673955991375,296.7666901152495,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_f,-3528.064558868371,0.14592677534861173,0.9659292224320434,20.992559294540083,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_f,-372.49618603082973,0.09892255118640433,0.9959803766221011,210.40154763682222,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_f,-382.56450278757575,0.1478555205184274,0.9911028459151232,34.20230753842656,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_f,-1077.5370190128754,0.15992410004702762,0.986741582968161,19.38699836689484,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_f,-1258.9310124902938,0.13386861522559657,0.9837687685891483,36.2983860592789,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_f,303.43434548721956,0.07169368038944235,0.9988338424661408,181.4708658222904,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_g,323.25895592985415,0.05846252083088124,0.9953640843515134,5.446028019812031,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_g,3425.2162154241905,0.09885565142289507,0.9852657974391662,121.86361174472063,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_g,-3225.8841973773974,0.1431912889613579,0.9571769191057429,17.498010841775326,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_g,176.5412364352095,0.09834677329042003,0.9963914550363763,204.1218119609284,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_g,-18.18920977525472,0.1517382717454505,0.9896038641170921,34.79478995909704,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_g,-589.5901187992099,0.20583564546157984,0.985512396293141,26.61207709371282,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_g,-949.5715250631134,0.13396331704396286,0.9780340125155274,30.054530938085815,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_g,1039.5922680651308,0.1415514508905948,0.991290134193389,170.92992162130116,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x1_Search-Ads,geo_h,371.2292071846044,0.05004498440345557,0.9946278633056612,5.5616244240243935,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x2_Search-Ads-Brand,geo_h,2025.3056090536434,0.07493200766509087,0.9932973428653425,267.8525136696758,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x3_Video,geo_h,-3754.3507306106353,0.12696431846245962,0.9619884246778873,14.355505205297694,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x4_Video-2,geo_h,594.3718530726992,0.13362575652881592,0.9957591463225797,363.31601212658245,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x5_Social-Media,geo_h,-164.3532233616918,0.13965933078779177,0.9907264706899029,36.06192249881607,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x6_Social-Media-2,geo_h,-520.3567100380619,0.10419149969267984,0.9940150943541068,15.32765259191288,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x7_Display-Ads,geo_h,-1291.9740621196668,0.14329148981437373,0.9735438696141429,28.9169305686675,Braço 1: PyMC Baseline
medium_business,PyMC-Marketing - nutpie,x8_Influencer,geo_h,356.87528270229814,0.1098959516378087,0.9975590006813372,256.5478296885608,Braço 1: PyMC Baseline
