Model,Geo,R²,MAPE (%),Bias,SRMSE,Durbin-Watson,Braço
PyMC-Marketing - nutpie,geo_a,0.9749,3.63,10.5614,0.043,2.041,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_b,0.981,3.6,74.4453,0.0397,1.668,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_c,0.9882,3.32,-73.778,0.036,1.951,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_d,0.9717,3.73,12.6713,0.0425,1.696,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_e,0.9808,3.51,-7.8162,0.0391,1.941,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_f,0.9811,3.85,51.8408,0.041,1.966,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_g,0.9812,3.84,-59.6052,0.0425,1.919,Braço 1: PyMC Baseline
PyMC-Marketing - nutpie,geo_h,0.9851,3.37,47.6629,0.0376,2.088,Braço 1: PyMC Baseline
Meridian,geo_a,-1746.9549560546875,866.3900146484375,2054658.625,11.351300239562988,0.1120000034570694,Braço 2: Meridian Baseline
Meridian,geo_b,-5332.77001953125,1768.8800048828125,4906250.0,21.012500762939453,0.10300000011920929,Braço 2: Meridian Baseline
Meridian,geo_c,-770.9801025390625,738.9099731445312,1915077.875,9.218400001525879,0.1080000028014183,Braço 2: Meridian Baseline
Meridian,geo_d,-2674.910400390625,1147.530029296875,2849363.75,13.046199798583984,0.06400000303983688,Braço 2: Meridian Baseline
Meridian,geo_e,-1108.3330078125,769.9099731445312,2040931.375,9.383000373840332,0.054999999701976776,Braço 2: Meridian Baseline
Meridian,geo_f,-384.92010498046875,523.3900146484375,1279592.875,5.866600036621094,0.08900000154972076,Braço 2: Meridian Baseline
Meridian,geo_g,-1437.180908203125,988.4600219726562,2354884.5,11.76669979095459,0.14900000393390656,Braço 2: Meridian Baseline
Meridian,geo_h,-7195.123046875,2345.02001953125,5748687.5,26.15169906616211,0.06800000369548798,Braço 2: Meridian Baseline
PyMC-Marketing - nutpie,geo_a,0.9749,3.63,17.0517,0.043,2.041,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_b,0.9811,3.6,8.9099,0.0396,1.669,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_c,0.9882,3.31,-55.4589,0.036,1.954,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_d,0.972,3.71,41.5229,0.0422,1.708,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_e,0.9808,3.51,16.7252,0.039,1.942,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_f,0.9812,3.84,-13.6547,0.0409,1.976,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_g,0.9813,3.81,-90.7238,0.0425,1.922,Braço 3: PyMC + CD-NOTS
PyMC-Marketing - nutpie,geo_h,0.9851,3.36,-68.6728,0.0376,2.092,Braço 3: PyMC + CD-NOTS
Meridian,geo_a,-1746.9549560546875,866.3900146484375,2054658.625,11.351300239562988,0.1120000034570694,Braço 4: Meridian + CD-NOTS
Meridian,geo_b,-5332.77001953125,1768.8800048828125,4906250.0,21.012500762939453,0.10300000011920929,Braço 4: Meridian + CD-NOTS
Meridian,geo_c,-770.9801025390625,738.9099731445312,1915077.875,9.218400001525879,0.1080000028014183,Braço 4: Meridian + CD-NOTS
Meridian,geo_d,-2674.910400390625,1147.530029296875,2849363.75,13.046199798583984,0.06400000303983688,Braço 4: Meridian + CD-NOTS
Meridian,geo_e,-1108.3330078125,769.9099731445312,2040931.375,9.383000373840332,0.054999999701976776,Braço 4: Meridian + CD-NOTS
Meridian,geo_f,-384.92010498046875,523.3900146484375,1279592.875,5.866600036621094,0.08900000154972076,Braço 4: Meridian + CD-NOTS
Meridian,geo_g,-1437.180908203125,988.4600219726562,2354884.5,11.76669979095459,0.14900000393390656,Braço 4: Meridian + CD-NOTS
Meridian,geo_h,-7195.123046875,2345.02001953125,5748687.5,26.15169906616211,0.06800000369548798,Braço 4: Meridian + CD-NOTS
